,mean_excess,mean_excess_ann,beta,alpha,alpha_ann,t_alpha,predicted_excess,predicted_excess_ann,r_squared,n_obs
D1,0.009804104477611939,0.11764925373134327,1.002587483933485,0.0015177937428631698,0.018213524914358036,1.1709569323458981,0.008286310734748767,0.0994357288169852,0.8611362273885584,268.0
D2,0.009059701492537313,0.10871641791044775,0.9478088059113885,0.0012261324436801267,0.01471358932416152,1.4456252732415877,0.007833569048857186,0.09400282858628622,0.8871155401016699,268.0
D3,0.008722014925373134,0.10466417910447762,0.8816866183148562,0.001434940822509675,0.0172192898701161,1.8944310030481775,0.007287074102863458,0.0874448892343615,0.8772705213894033,268.0
D4,0.00699776119402985,0.0839731343283582,0.973453966631648,-0.001047763194362321,-0.012573158332347852,-1.0793041281672417,0.008045524388392167,0.09654629266070601,0.897522154493856,268.0
D5,0.00729365671641791,0.08752388059701492,0.922860507767118,-0.0003337165100901748,-0.004004598121082097,-0.3112594974799418,0.0076273732265080855,0.09152847871809702,0.8437099627938842,268.0
D6,0.008198880597014924,0.0983865671641791,1.00090819593462,-7.355094774322637e-05,-0.0008826113729187165,-0.05223646862113202,0.008272431544758149,0.09926917853709778,0.8255998763732045,268.0
D7,0.004704477611940299,0.05645373134328359,1.0260617329868251,-0.0037758460394246973,-0.04531015247309637,-1.8971407861980991,0.008480323651364993,0.10176388381637991,0.7764874625826998,268.0
D8,0.007884328358208953,0.09461194029850745,1.0623635713328872,-0.0008960272779938311,-0.010752327335925974,-0.39873509058259826,0.008780355636202782,0.10536426763443338,0.7369181342704325,268.0
D9,0.009663432835820893,0.11596119402985072,1.1668881664891089,1.9189220994863436e-05,0.00023027065193836124,0.009253002408772986,0.009644243614826032,0.11573092337791238,0.7512696687573226,268.0
D10,0.008822014925373135,0.10586417910447762,1.427722236329606,-0.0029780028114555156,-0.035736033737466186,-1.0441297941393715,0.01180001773682865,0.1416002128419438,0.7000899200778105,268.0
