,mean_excess,mean_excess_ann,beta,alpha,alpha_ann,t_alpha,predicted_excess,predicted_excess_ann,r_squared,n_obs
D1,0.006114925373134328,0.07337910447761194,1.1427236289921239,-0.003329600142602817,-0.039955201711233804,-1.6047646249664858,0.009444525515737144,0.11333430618884574,0.6953798834454212,268.0
D2,0.0073880597014925374,0.08865671641791045,1.2446760177086418,-0.002899094698599409,-0.034789136383192906,-1.4371014477083697,0.010287154400091949,0.12344585280110339,0.7134682752482824,268.0
D3,0.008938432835820896,0.10726119402985076,1.2421777786192398,-0.0013280738046329036,-0.015936885655594844,-0.7360104682209575,0.010266506640453794,0.12319807968544552,0.7845906964272884,268.0
D4,0.008310820895522387,0.09972985074626864,1.220288573323045,-0.0017747730966811447,-0.02129727716017374,-1.1152242697747228,0.010085593992203528,0.12102712790644234,0.8185251222778305,268.0
D5,0.008328731343283583,0.099944776119403,1.220430117842616,-0.0017580325038111782,-0.02109639004573414,-1.2973721552372,0.010086763847094758,0.12104116616513709,0.8484750345725642,268.0
D6,0.008812686567164179,0.10575223880597015,1.153291784963606,-0.0007191839690089121,-0.008630207628106946,-0.5266872238871199,0.009531870536173088,0.11438244643407705,0.8677201506505685,268.0
D7,0.00838917910447761,0.10067014925373133,1.1467941498130574,-0.0010889889620743385,-0.013067867544892062,-0.9841417407101262,0.00947816806655195,0.1137380167986234,0.8902590737857792,268.0
D8,0.008672014925373134,0.10406417910447761,1.0897126643934987,-0.00033437892399850876,-0.004012547087982105,-0.36594034952578863,0.009006393849371642,0.1080767261924597,0.9178041782189793,268.0
D9,0.008286194029850745,0.09943432835820895,1.020851353025543,-0.00015106621996857834,-0.00181279463962294,-0.17680181455379448,0.008437260249819322,0.10124712299783187,0.9277244128931577,268.0
D10,0.008222014925373134,0.09866417910447761,0.9391203487849,0.0004602553262740501,0.005523063915288602,1.0743503315686793,0.007761759599099082,0.09314111518918898,0.9739758554057341,268.0
