,mean_excess,mean_excess_ann,beta,alpha,alpha_ann,t_alpha,predicted_excess,predicted_excess_ann,r_squared,n_obs
D1,0.008061316872427985,0.09673580246913582,1.0839386956417074,0.0029572145988147162,0.035486575185776595,1.3326757549656445,0.005104102273613267,0.0612492272833592,0.5620126989078253,486.0
D2,0.007354938271604937,0.08825925925925925,1.1784811394418688,0.0018056500254882365,0.02166780030585884,1.060300529070137,0.005549288246116701,0.0665914589534004,0.6968651708918993,486.0
D3,0.007314197530864198,0.08777037037037037,1.172486036200276,0.0017931393130775103,0.021517671756930125,1.2872811438129155,0.005521058217786691,0.0662526986134403,0.7613886105387477,486.0
D4,0.007098559670781892,0.0851827160493827,1.1548972088704426,0.0016603245627571895,0.019923894753086275,1.2423531585654226,0.005438235108024708,0.0652588212962965,0.7762043962469269,486.0
D5,0.007231893004115227,0.08678271604938273,1.131615651813399,0.0019032872033436985,0.02283944644012438,1.7671290037886551,0.005328605800771531,0.06394326960925836,0.8294480001495087,486.0
D6,0.006055144032921811,0.07266172839506174,1.0983435352312627,0.0008832115630108153,0.010598538756129785,0.9258044325917834,0.005171932469910997,0.06206318963893197,0.8679239304546436,486.0
D7,0.006563580246913579,0.07876296296296295,1.0972923335118536,0.0013965977258397618,0.016759172710077142,1.7117859569138767,0.005166982521073821,0.062003790252885854,0.9029487564672442,486.0
D8,0.006049176954732511,0.07259012345679013,1.0753545307190808,0.0009854962066859724,0.011825954480231668,1.3224445773914115,0.005063680748046536,0.06076416897655844,0.9216918646357145,486.0
D9,0.0052627572016460894,0.06315308641975308,1.0021379493400746,0.0005438421871095472,0.006526106245314566,1.0314136836869827,0.0047189150145365445,0.05662698017443853,0.948064017016971,486.0
D10,0.004115020576131687,0.04938024691358024,0.9340863039119184,-0.00028344960185683907,-0.003401395222282069,-0.5730379089874927,0.004398470177988529,0.05278164213586235,0.9458853756505735,486.0
