,mean_excess,mean_excess_ann,beta,alpha,alpha_ann,t_alpha,predicted_excess,predicted_excess_ann,r_squared,n_obs
D1,-0.004039300411522634,-0.0484716049382716,1.340195573642451,-0.010350077305104424,-0.12420092766125308,-5.335707573748871,0.006310776893581788,0.07572932272298145,0.6475941872707658,486.0
D2,0.0026666666666666666,0.032,1.1265255935705252,-0.002637970824868613,-0.03165564989842336,-1.7569818597999565,0.005304637491535281,0.06365564989842337,0.7141552989221377,486.0
D3,0.0035473251028806585,0.0425679012345679,0.9802966230691978,-0.001068742431880369,-0.012824909182564428,-0.9164121162481507,0.004616067534761028,0.05539281041713233,0.7312779194613892,486.0
D4,0.004166049382716049,0.04999259259259259,0.9336023401971927,-0.00023014188382978554,-0.0027617026059574266,-0.19651479714460543,0.004396191266545835,0.052754295198550016,0.7904396742525446,486.0
D5,0.00291522633744856,0.03498271604938272,0.8981497094545725,-0.0013140238890674638,-0.015768286668809566,-1.4933071100912134,0.004229250226516027,0.05075100271819232,0.8400212768246994,486.0
D6,0.004456378600823046,0.053476543209876555,0.9313954690448089,7.057915450813749e-05,0.0008469498540976499,0.09636187420906421,0.004385799446314908,0.052629593355778895,0.8431730148957475,486.0
D7,0.004460288065843621,0.05352345679012345,0.8988238196791406,0.0002278635569224008,0.0027343626830688096,0.2897611673473202,0.0042324245089212205,0.05078909410705465,0.8377806348092359,486.0
D8,0.006575720164609053,0.07890864197530864,0.9214315454898949,0.002236839317173614,0.02684207180608337,2.8146573734876643,0.004338880847435441,0.05206657016922529,0.8411781601282103,486.0
D9,0.00762448559670782,0.09149382716049384,0.984006492982659,0.0029909488494016204,0.035891386192819445,3.0972690352331207,0.004633536747306204,0.055602440967674444,0.818691029308787,486.0
D10,0.012006378600823042,0.1440765432098765,1.1836112061798503,0.006432933651558466,0.0771952038187016,4.29676360262028,0.005573444949264583,0.066881339391175,0.7302772218131974,486.0
