test_assets,model,n_assets,grs_F,p_value,rejects_5pct,mean_abs_alpha_ann,n_obs
10 B/M deciles,CAPM,10,2.5200819281664706,0.006582630111328213,True,0.015963555613341108,268
10 B/M deciles,FF3,10,2.904963181987983,0.0018477982577347735,True,0.01304824907425074,268
10 B/M deciles,Carhart4,10,2.8195074926940524,0.002463150840812688,True,0.013143875578617644,268
10 size deciles,CAPM,10,0.7526873308018521,0.6742996011838736,False,0.016612137177182185,268
10 size deciles,FF3,10,0.5976306631935068,0.8153071212764619,False,0.004535053949065029,268
10 size deciles,Carhart4,10,0.5612878678480128,0.8446507060077463,False,0.004190495643140073,268
10 beta deciles,CAPM,10,0.7983406644069295,0.6304484894738125,False,0.013116749277261218,268
10 beta deciles,FF3,10,0.7864972948795748,0.6418408809021179,False,0.010480084433205073,268
10 beta deciles,Carhart4,10,0.8662632589235564,0.5654715571651714,False,0.01073022192573354,268
10 momentum deciles,CAPM,10,1.8659590189939983,0.05024964700539332,False,0.024464683809475442,268
10 momentum deciles,FF3,10,1.753027270741767,0.06968947792654735,False,0.0215261689478429,268
10 momentum deciles,Carhart4,10,1.925228179725498,0.04225119294841281,True,0.01887092521701038,268
25 size-B/M,CAPM,25,2.113481328106135,0.002128170640433771,True,0.01825786377857134,268
25 size-B/M,FF3,25,2.099034962316426,0.0023368689635602465,True,0.012235602789173194,268
25 size-B/M,Carhart4,25,2.0763045446376975,0.002688713376204067,True,0.012076859387214055,268
17 industries,CAPM,17,2.141491399631618,0.0062427015773103825,True,0.02358796446431594,268
17 industries,FF3,17,2.115069472392949,0.00707169703781126,True,0.021053106361851988,268
17 industries,Carhart4,17,1.9886917591442952,0.012546381606639881,True,0.019330845193520383,268
