test_assets,model,n_assets,grs_F,p_value,rejects_5pct,mean_abs_alpha_ann,n_obs
10 B/M deciles,CAPM,10,2.1053283515498933,0.022736671991247518,True,0.02574556176743193,486
10 B/M deciles,FF3,10,1.2370288410385601,0.2645833210069457,False,0.008391008140915573,486
10 B/M deciles,Carhart4,10,1.1867922978043737,0.2972775153369016,False,0.00703529591569705,486
10 size deciles,CAPM,10,1.9965923647253963,0.031999716169095145,True,0.017054655585581155,486
10 size deciles,FF3,10,1.629493021423275,0.09527093964505996,False,0.005470557968446123,486
10 size deciles,Carhart4,10,1.8474779598342053,0.0504959280248627,False,0.005162154637247252,486
10 beta deciles,CAPM,10,1.1193069241370586,0.3454929446038806,False,0.011479403075275611,486
10 beta deciles,FF3,10,0.7885671821191421,0.6399159763379503,False,0.009374482459628315,486
10 beta deciles,Carhart4,10,0.7941218586666543,0.6345355649492062,False,0.00497222868754655,486
10 momentum deciles,CAPM,10,6.611110493088831,1.2636284920949894e-09,True,0.033072145037177855,486
10 momentum deciles,FF3,10,6.614578246384435,1.2546053883878862e-09,True,0.04194371150965627,486
10 momentum deciles,Carhart4,10,4.5797964525704815,3.188618689456658e-06,True,0.019454972077958564,486
25 size-B/M,CAPM,25,3.665017297077398,1.4733712282525986e-08,True,0.03665029096774043,486
25 size-B/M,FF3,25,2.5038858944867357,0.000100531508038838,True,0.011989325897893035,486
25 size-B/M,Carhart4,25,1.969955031444562,0.0037991746813226947,True,0.010448818067163614,486
17 industries,CAPM,17,1.1899609321274998,0.26816104260788737,False,0.013967268661275855,486
17 industries,FF3,17,3.1274769696813873,2.7983635438169036e-05,True,0.026179711132186298,486
17 industries,Carhart4,17,3.230376233357877,1.573810568082027e-05,True,0.02190332917943361,486
